selections,region,pct,ll,ul
Current smoker,Moonee Valley,15.4,11.2,20.7
Current smoker,Western Melbourne Area,15.1,13.2,17.3
Current smoker,Victoria,16.7,16,17.5
Ex-smoker,Moonee Valley,22.7,18.3,27.9
Ex-smoker,Western Melbourne Area,21.8,19.7,24.1
Ex-smoker,Victoria,24.4,23.7,25.1
Non-smoker,Moonee Valley,60.8,54.9,66.4
Non-smoker,Western Melbourne Area,62.6,59.9,65.3
Non-smoker,Victoria,58.1,57.2,59
