selections,region,pct,ll,ul
Yes,Moonee Valley,9.4,6.5,13.5
Yes,Western Melbourne Area,10.4,8.6,12.6
Yes,Victoria,10.8,10.3,11.4
No,Moonee Valley,88.4,83.8,91.9
No,Western Melbourne Area,87.1,84.8,89
No,Victoria,86.7,86.1,87.3
