selections,region,pct,ll,ul
Excellent / very good,Moonee Valley,47.5,41.6,53.5
Excellent / very good,Western Melbourne Area,41.6,38.8,44.4
Excellent / very good,Victoria,41.6,40.7,42.5
Good,Moonee Valley,34.6,29.3,40.4
Good,Western Melbourne Area,38.6,35.8,41.4
Good,Victoria,37.6,36.7,38.5
Fair/poor,Moonee Valley,17.7,13.7,22.5
Fair/poor,Western Melbourne Area,19.6,17.4,22.1
Fair/poor,Victoria,20.3,19.6,21
