selections,region,pct,ll,ul
Males,Moonee Valley,37.5,27.4,48.9
Males,Western Melbourne Area,44.7,38.7,50.8
Males,Victoria,48.8,47.1,50.6
Females,Moonee Valley,44.3,36.1,52.9
Females,Western Melbourne Area,43.2,37.2,49.3
Females,Victoria,44.9,43.3,46.4
People,Moonee Valley,41.2,34.6,48.1
People,Western Melbourne Area,43.9,39.7,48.2
People,Victoria,46.8,45.6,47.9
