selections,region,pct,ll,ul
Week day,Moonee Valley,29.7,24.4,35.7
Week day,Western Melbourne Area,28.3,25.9,31
Week day,Victoria,26.6,25.8,27.5
Weekend day,Moonee Valley,11.6,8.2,16.2
Weekend day,Western Melbourne Area,13.5,11.7,15.6
Weekend day,Victoria,14.1,13.4,14.7
