selections,region,pct,ll,ul
Ever,Moonee Valley,79.6,69.3,87
Ever,Western Melbourne Area,84.3,75.9,90.2
Ever,Victoria,88,86.7,89.2
In last 2 years,Moonee Valley,83.5,74.6,89.7
In last 2 years,Western Melbourne Area,83.5,78.5,87.5
In last 2 years,Victoria,79.2,77.7,80.7
