selections,region,pct,ll,ul
Received the FOBT kit,Moonee Valley,64.5,57.4,71
Received the FOBT kit,Western Melbourne Area,67.3,63,71.3
Received the FOBT kit,Victoria,66.7,65.5,67.8
Completed and returned the FOBT kit,Moonee Valley,61.2,52.6,69.1
Completed and returned the FOBT kit,Western Melbourne Area,55.8,50.3,61.1
Completed and returned the FOBT kit,Victoria,60.1,58.8,61.5
