SA1_7DigitCode_2016,Neighbourhood,Usual Resident Population,Score,Decile
2122953,MILLEARA,371,992,4
2122954,MILLEARA,548,1002,5
2122955,KEILOR EAST,313,1033,6
2122957,MILLEARA,243,927,2
2122958,MILLEARA,228,947,3
2122959,KEILOR EAST,312,1043,7
2122960,KEILOR EAST,353,1020,6
2122961,MILLEARA,311,987,4
2122962,MILLEARA,468,975,4
2122963,AVONDALE HEIGHTS,279,1043,7
2122964,AVONDALE HEIGHTS,401,974,4
2123001,KEILOR ROAD / ESSENDON NORTH,439,1061,7
2123002,NIDDRIE / ESSENDON WEST,401,1098,9
2123003,KEILOR ROAD / ESSENDON NORTH,331,1023,6
2123004,KEILOR ROAD / ESSENDON NORTH,380,1030,6
2123005,NIDDRIE / ESSENDON WEST,409,1083,8
2123006,KEILOR ROAD / ESSENDON NORTH,508,1049,7
2123007,KEILOR ROAD / ESSENDON NORTH,399,1058,7
2123008,KEILOR ROAD / ESSENDON NORTH,434,992,4
2123009,KEILOR ROAD / ESSENDON NORTH,483,1071,8
2123010,NIDDRIE / ESSENDON WEST,484,1024,6
2123011,NIDDRIE / ESSENDON WEST,423,1056,7
2123012,ABERFELDIE,530,1093,9
2123013,NIDDRIE / ESSENDON WEST,356,1060,7
2123014,NIDDRIE / ESSENDON WEST,370,1115,9
2123015,NIDDRIE / ESSENDON WEST,422,1078,8
2123016,NIDDRIE / ESSENDON WEST,352,1057,7
2123017,KEILOR ROAD / ESSENDON NORTH,186,1017,6
2123101,STRATHMORE HEIGHTS,447,1072,8
2123102,STRATHMORE HEIGHTS,528,1080,8
2123103,STRATHMORE HEIGHTS,298,1036,6
2123104,STRATHMORE,597,1094,9
2123105,STRATHMORE,373,1086,8
2123106,STRATHMORE,441,1127,10
2123107,STRATHMORE,477,1085,8
2123108,STRATHMORE,457,1106,9
2123109,STRATHMORE,537,1140,10
2123110,STRATHMORE,217,1136,10
2123111,STRATHMORE HEIGHTS,528,1087,8
2123112,STRATHMORE HEIGHTS,284,1102,9
2123113,STRATHMORE HEIGHTS,562,1038,6
2123114,STRATHMORE,260,1102,9
2123115,STRATHMORE,389,1131,10
2123116,STRATHMORE,366,1109,9
2123117,STRATHMORE,526,1141,10
2123118,STRATHMORE,343,1140,10
2123119,STRATHMORE,339,1137,10
2123120,STRATHMORE HEIGHTS,479,1047,7
2123121,STRATHMORE HEIGHTS,397,1095,9
2123122,STRATHMORE HEIGHTS,587,1083,8
