selections,region,pct,ll,ul
Never,Moonee Valley,18.4,14.8,22.6
Never,Western Melbourne Area,16.9,14.9,19.1
Never,Victoria,14.9,14.3,15.5
1 or less than 1 times/week,Moonee Valley,67.2,61.5,72.5
1 or less than 1 times/week,Western Melbourne Area,66.5,63.7,69.2
1 or less than 1 times/week,Victoria,69.1,68.2,70
More than 1 times/week,Moonee Valley,14.1,10.1,19.2
More than 1 times/week,Western Melbourne Area,16.3,14.1,18.9
More than 1 times/week,Victoria,15.3,14.6,16
