selections,region,pct,ll,ul
Yes,Moonee Valley,31.6,26,37.8
Yes,Western Melbourne Area,31,28.5,33.6
Yes,West Division ,35.4,33.7,37.1
Yes,Victoria,33.9,33.1,34.8
No,Moonee Valley,68.4,62.2,74
No,Western Melbourne Area,68.6,66,71.2
No,West Division ,64.2,62.5,65.9
No,Victoria,65.5,64.7,66.4
