selections,region,pct,ll,ul
Insufficient,Moonee Valley,36.7,31,42.7
Insufficient,Western Melbourne Area,46.6,43.8,49.5
Insufficient,Victoria,44.1,43.2,45
Met guidelines,Moonee Valley,57.7,51.5,63.6
Met guidelines,Western Melbourne Area,48.5,45.7,51.3
Met guidelines,Victoria,50.9,50,51.8
