Australian Bureau of Statistics,,,,
,,,,
"2016 Census - Counting Persons, Place of Usual Residence (MB)",,,,
LANP - 4 Digit Level and ENGP Proficiency in Spoken English by LGA (UR),,,,
Counting: Persons Place of Usual Residence,,,,
,,,,
Filters:,,,,
Default Summation,Persons Place of Usual Residence,,,
LGA (UR),Moonee Valley (C),,,
,,,,
Counting,LGA (UR),LANP - 4 Digit Level,ENGP Proficiency in Spoken English,Count
Persons Place of Usual Residence,Moonee Valley (C),German,Not well,5
Persons Place of Usual Residence,Moonee Valley (C),German,Not at all,0
Persons Place of Usual Residence,Moonee Valley (C),German,Not stated - both language (LANP) and proficiency (ENGP) not stated,0
Persons Place of Usual Residence,Moonee Valley (C),German,"Not stated - language (LANP) stated, proficiency (ENGP) not stated",6
Persons Place of Usual Residence,Moonee Valley (C),German,Not applicable,0
Persons Place of Usual Residence,Moonee Valley (C),Letzeburgish,Very well,0
Persons Place of Usual Residence,Moonee Valley (C),Letzeburgish,Well,0
Persons Place of Usual Residence,Moonee Valley (C),Letzeburgish,Not well,0
Persons Place of Usual Residence,Moonee Valley (C),Letzeburgish,Not at all,0
Persons Place of Usual Residence,Moonee Valley (C),Letzeburgish,Not stated - both language (LANP) and proficiency (ENGP) not stated,0
Persons Place of Usual Residence,Moonee Valley (C),Letzeburgish,"Not stated - language (LANP) stated, proficiency (ENGP) not stated",0
Persons Place of Usual Residence,Moonee Valley (C),Letzeburgish,Not applicable,0
Persons Place of Usual Residence,Moonee Valley (C),Yiddish,Very well,0
Persons Place of Usual Residence,Moonee Valley (C),Yiddish,Well,0
Persons Place of Usual Residence,Moonee Valley (C),Yiddish,Not well,0
Persons Place of Usual Residence,Moonee Valley (C),Yiddish,Not at all,0
Persons Place of Usual Residence,Moonee Valley (C),Yiddish,Not stated - both language (LANP) and proficiency (ENGP) not stated,0
Persons Place of Usual Residence,Moonee Valley (C),Yiddish,"Not stated - language (LANP) stated, proficiency (ENGP) not stated",0
Persons Place of Usual Residence,Moonee Valley (C),Yiddish,Not applicable,0
Persons Place of Usual Residence,Moonee Valley (C),"Dutch and Related Languages, nfd",Very well,0
Persons Place of Usual Residence,Moonee Valley (C),"Dutch and Related Languages, nfd",Well,0
Persons Place of Usual Residence,Moonee Valley (C),"Dutch and Related Languages, nfd",Not well,0
Persons Place of Usual Residence,Moonee Valley (C),"Dutch and Related Languages, nfd",Not at all,0
