selections,region,pct,ll,ul
Low or medium (0-6),Moonee Valley,19.9,15.3,25.6
Low or medium (0-6),Western Melbourne Area,21.5,19,24.3
Low or medium (0-6),Victoria,20.5,19.7,21.2
High (7-8),Moonee Valley,49.9,43.9,56
High (7-8),Western Melbourne Area,50.4,47.5,53.3
High (7-8),Victoria,50.9,50,51.8
Very high (9-10),Moonee Valley,27.9,23,33.4
Very high (9-10),Western Melbourne Area,26.3,23.8,28.9
Very high (9-10),Victoria,27,26.2,27.8
