selections,region,pct,ll,ul
Low or medium (0-6),Moonee Valley,19.1,14.5,24.7
Low or medium (0-6),Western Melbourne Area,17.5,15.3,20
Low or medium (0-6),Victoria,16.7,16,17.5
High (7-8),Moonee Valley,48.7,42.6,54.8
High (7-8),Western Melbourne Area,48.7,45.8,51.6
High (7-8),Victoria,46.2,45.3,47.1
Very high (9-10),Moonee Valley,30.2,25.2,35.7
Very high (9-10),Western Melbourne Area,29.4,27,32
Very high (9-10),Victoria,34,33.1,34.8
