selections,region,pct,ll,ul
Pre-obese or obese,Moonee Valley,47.6,41.7,53.7
Pre-obese or obese,Western Melbourne Area,47.9,45.2,50.7
Pre-obese or obese,Victoria,50.8,49.9,51.7
