selections,region,pct,ll,ul
Consumed sugar-sweetened soft drinks daily,Moonee Valley,6.4,4.3,9.4
Consumed sugar-sweetened soft drinks daily,Western Melbourne Area,10.8,8.7,13.2
Consumed sugar-sweetened soft drinks daily,Victoria,10.1,9.5,10.7
